H??EDfL,32,12,47
H??EDfM,29,8,54
H??EDfN,37,16,51
H??EDfk,34,7,31
H??EDfl,39,11,31
H??EDfm,38,9,34
H??EDfn,46,12,32
H??EDf{,35,9,16
H??EDf|,37,12,17
H??EDf},37,11,18
H??EDf~,39,14,19
H??EDo},60,16,95
H??EDo~,60,25,105
H??EDps,68,6,62
H??EDpt,74,12,58
H??EDpu,57,9,51
H??EDpv,50,17,53
H??EDp{,68,8,94
H??EDp|,81,15,69
H??EDp},61,11,60
H??EDp~,56,19,57
H??EDqs,66,12,42
H??EDqt,77,13,43
H??EDqu,58,8,62
H??EDqv,59,18,67
H??EDq{,69,12,79
H??EDq|,84,15,54
H??EDq},65,11,64
H??EDq~,69,17,68
H??EDrE,27,3,50
H??EDrF,35,13,57
H??EDrc,54,5,53
H??EDrd,58,8,46
H??EDre,46,7,43
H??EDrf,43,14,42
H??EDrs,60,7,59
H??EDrt,77,12,31
H??EDru,60,9,21
H??EDrv,52,13,23
H??EDr{,82,13,59
H??EDr|,72,12,48
H??EDr},59,11,26
H??EDr~,49,15,14
H??EDtu,48,12,60
H??EDtv,51,20,61
H??EDt{,51,11,59
H??EDt|,51,18,63
H??EDt},57,14,61
H??EDt~,58,22,63
H??EDuu,55,12,77
H??EDuv,58,25,77
H??EDu{,60,10,70
H??EDu|,60,20,74
H??EDu},63,15,76
H??EDu~,67,24,77
H??EDve,40,9,50
H??EDvf,46,16,48
H??EDvs,46,9,25
H??EDvt,47,14,27
H??EDvu,49,11,28
H??EDvv,53,15,28
H??EDv{,48,11,13
H??EDv|,49,15,14
H??EDv},50,13,15
H??EDv~,51,17,16
H??EDx{,46,10,100
H??EDx|,94,17,84
H??EDx},61,13,69
H??EDx~,60,22,72
H??EDy{,58,10,92
H??EDy|,95,17,75
H??EDy},69,13,86
H??EDy~,72,20,90
H??EDzq,44,9,37
H??EDzr,48,15,36
H??EDzw,47,9,54
H??EDzx,89,14,29
H??EDzy,57,11,16
H??EDzz,57,16,18
H??EDz{,56,11,63
H??EDz|,85,15,54
H??EDz},61,14,23
H??EDz~,56,17,17
H??ED|},68,16,70
H??ED|~,67,24,74
H??ED}},73,18,91
H??ED}~,78,23,95
H??ED~y,59,13,19
H??ED~z,61,18,19
H??ED~{,60,14,10
H??ED~|,61,17,12
H??ED~},64,15,11
H??ED~~,64,19,13
H??EEA{,32,2,58
H??EEA},39,5,40
H??EEB{,44,26,50
H??EEB},34,7,36
H??EEB~,24,4,20
H??EEC},28,8,39
H??EEC~,45,15,45
H??EEE{,21,0,29
H??EEE},30,5,35
H??EEE~,35,7,38
H??EEF{,22,2,18
H??EEF},24,4,20
H??EEF~,24,6,24
H??EF?],30,2,48
H??EF?^,35,18,55
H??EF?{,18,2,80
H??EF?|,46,7,73
H??EF?},40,7,79
H??EF?~,49,15,56
H??EFA[,40,3,53
H??EFA\,43,7,52
H??EFA],43,5,48
H??EFA^,37,10,44
H??EFA{,63,4,87
H??EFA|,57,7,48
H??EFA},41,7,56
H??EFA~,40,9,41
H??EFB[,48,6,72
H??EFB\,50,10,38
H??EFB],45,6,40
H??EFB^,36,8,36
H??EFB{,75,23,54
H??EFB|,47,9,43
H??EFB},38,7,45
H??EFB~,30,9,21
H??EFC},39,14,67
H??EFC~,49,23,63
H??EFE],30,6,55
H??EFE^,40,13,51
H??EFE{,31,6,43
H??EFE|,37,11,42
H??EFE},35,8,47
H??EFE~,43,12,45
H??EFF[,25,5,40
H??EFF\,31,11,38
H??EFF],27,7,46
H??EFF^,38,11,41
H??EFF{,28,7,19
H??EFF|,30,10,20
H??EFF},29,9,22
H??EFF~,31,12,23
H??EF_},53,11,89
H??EF_~,53,20,77
H??EFam,53,7,52
H??EFan,42,13,53
H??EFa{,73,7,100
H??EFa|,73,11,56
H??EFa},56,9,55
H??EFa~,49,13,48
H??EFbK,64,6,56
H??EFbL,49,11,52
H??EFbM,41,6,58
H??EFbN,33,13,58
H??EFbk,57,6,81
H??EFbl,67,11,39
H??EFbm,57,8,34
H??EFbn,44,11,35
H??EFb{,82,22,66
H??EFb|,64,11,46
H??EFb},55,10,34
H??EFb~,41,13,18
H??EFe},47,11,52
H??EFe~,53,17,50
H??EFfM,30,10,64
H??EFfN,37,19,61
H??EFfk,37,8,36
H??EFfl,41,15,34
H??EFfm,40,10,40
H??EFfn,48,15,36
H??EFf{,40,10,16
H??EFf|,41,14,17
H??EFf},41,12,19
H??EFf~,42,16,20
H??EFq},63,12,57
H??EFq~,57,18,55
H??EFrs,44,8,88
H??EFrt,85,18,29
H??EFru,63,10,26
H??EFrv,54,16,26
H??EFr{,58,18,92
H??EFr|,80,15,48
H??EFr},64,12,28
H??EFr~,53,16,15
H??EFvu,54,12,30
H??EFvv,61,17,26
H??EFv{,55,12,11
H??EFv|,56,16,12
H??EFv},56,14,14
H??EFv~,57,18,15
H??EFz{,64,12,64
H??EFz|,68,15,82
H??EFz},64,14,27
H??EFz~,64,18,14
H??EF~},66,16,14
H??EF~~,67,20,15
H??F?w],60,18,162
H??F?yR,50,10,78
H??F?yY,49,15,97
H??F?y],52,17,138
H??F?zB,27,3,35
H??F?zO,22,4,22
H??F?zQ,28,6,31
H??F?zR,41,11,52
H??F?zW,44,8,44
H??F?zY,48,11,49
H??F?zZ,44,18,58
H??F?z],51,13,68
H??F?zb,32,9,43
H??F?zo,12,6,30
H??F?zq,24,8,31
H??F?zr,38,17,35
H??F?zw,20,10,50
H??F?zy,43,13,21
H??F?zz,47,16,21
H??F?z{,30,12,54
H??F?z},49,15,27
H??F?z~,46,18,20
H??F?}],69,34,127
H??F?~R,52,17,48
H??F?~Y,53,15,52
H??F?~Z,52,24,56
H??F?~],59,17,68
H??F?~b,47,19,42
H??F?~q,47,14,29
H??F?~r,52,22,25
H??F?~w,36,13,17
H??F?~y,48,16,20
H??F?~z,54,19,18
H??F?~{,49,15,14
H??F?~},52,18,14
H??F?~~,54,21,15
H??FCo],61,20,115
H??FCpF,45,16,77
H??FCpS,60,6,54
H??FCpU,54,13,66
H??FCpV,56,20,76
H??FCp],57,16,80
H??FCpf,39,19,54
H??FCps,52,9,59
H??FCpu,50,13,54
H??FCpv,47,20,53
H??FCp{,56,10,84
H??FCp},54,15,63
H??FCp~,58,20,54
H??FCqF,51,21,88
H??FCqU,48,17,91
H??FCq],59,17,108
H??FCrE,36,6,48
H??FCrF,48,13,65
H??FCrS,58,7,47
H??FCrU,55,11,46
H??FCrV,54,18,54
H??FCr],56,14,50
H??FCrc,35,6,43
H??FCre,37,8,39
H??FCrf,39,17,43
H??FCrs,50,9,49
H??FCru,52,12,26
H??FCrv,47,16,25
H??FCr{,68,14,50
H??FCr},51,14,31
H??FCr~,44,17,17
H??FCtV,63,30,78
H??FCt],60,23,87
H??FCtu,44,18,58
H??FCtv,51,24,57
H??FCt{,49,15,57
H??FCt},52,20,60
H??FCt~,60,25,58
H??FCu],61,31,115
H??FCvU,59,15,52
H??FCvV,63,22,55
H??FCv],61,18,53
H??FCve,37,12,50
H??FCvf,43,20,47
H??FCvs,43,12,25
H??FCvu,44,15,29
H??FCvv,51,18,27
H??FCv{,42,14,16
H??FCv},44,17,17
H??FCv~,46,20,18
H??FCx[,46,10,114
H??FCx\,72,19,118
H??FCx],59,17,111
H??FCx^,56,27,121
H??FCxq,35,12,61
H??FCxr,43,18,59
H??FCxw,39,10,71
H??FCxx,60,16,78
H??FCxy,44,15,62
H??FCxz,47,22,63
H??FCx{,38,12,94
H??FCx|,64,18,100
H??FCx},52,17,74
H??FCx~,55,26,73
H??FCy[,50,8,134
H??FCy\,74,15,136
H??FCy],60,21,149
H??FCy^,68,36,149
H??FCzR,49,13,55
H??FCzW,56,9,52
H??FCzX,72,14,54
H??FCzY,53,12,55
H??FCzZ,52,19,61
H??FCz[,56,11,76
H??FCz\,81,16,71
H??FCz],58,15,71
H??FCz^,63,19,74
H??FCza,22,7,55
H??FCzb,36,16,56
H??FCzo,33,9,39
H??FCzp,51,12,37
H??FCzq,36,11,43
H??FCzr,40,16,43
H??FCzw,37,11,51
H??FCzx,65,16,39
H??FCzy,47,14,23
H??FCzz,48,18,25
H??FCz{,48,13,56
H??FCz|,65,16,59
H??FCz},54,16,28
H??FCz~,50,20,20
H??FC|^,61,37,123
H??FC|z,55,27,61
H??FC|{,58,17,68
H??FC||,59,24,71
H??FC|},63,22,69
H??FC|~,66,31,68
H??FC}^,74,54,148
H??FC~Z,60,24,60
H??FC~[,61,14,69
H??FC~\,64,19,73
H??FC~],66,20,70
H??FC~^,70,24,74
H??FC~r,52,21,35
H??FC~w,40,14,18
H??FC~x,42,18,18
H??FC~y,51,17,23
H??FC~z,55,21,22
H??FC~{,53,16,15
H??FC~|,55,20,15
H??FC~},56,19,15
H??FC~~,57,23,16
H??FE_N,40,22,88
H??FE_n,41,25,70
H??FE_{,40,8,112
H??FE_},47,15,91
H??FE_~,54,24,72
H??FEaN,46,19,75
H??FEa],53,12,71
H??FEak,54,8,64
H??FEam,47,11,54
H??FEan,42,16,50
H??FEa{,66,11,76
H??FEa},51,13,56
